Dependency,Error_Rate,Count
nsubj,0.3125,96
amod,0.2534246575342466,146
parataxis,0.14705882352941177,34
obj,0.3620689655172414,58
punct,0.4647887323943662,71
dep,0.2857142857142857,14
nmod,0.3678474114441417,367
acl,0.3076923076923077,26
fixed,0.6,10
cc,0.40298507462686567,67
conj,0.46774193548387094,62
case,0.27053140096618356,207
mark,0.3793103448275862,29
xcomp,0.4,10
obl,0.36904761904761907,84
cop,0.5,4
advmod,0.5555555555555556,9
flat:foreign,0.4,5
ccomp,0.3333333333333333,12
obl:arg,0.4,40
advmod:emph,0.5,6
nummod,0.125,8
csubj,0.5,2
det,0.36363636363636365,11
aux,0.2,10
advcl,0.25,8
acl:relcl,0.4166666666666667,12
