Dependency,Error_Rate,Count
punct,0.16494845360824742,97
obl,0.15217391304347827,46
advmod,0.10638297872340426,47
acl:relcl,0.1111111111111111,9
conj,0.28,25
nsubj,0.03896103896103896,77
aux,0.03225806451612903,31
root,0.02,50
compound:prt,0.4,5
det,0.01282051282051282,78
amod,0.04,50
compound,0.10714285714285714,28
obj,0.05555555555555555,54
mark,0.12903225806451613,31
nsubj:pass,0.16666666666666666,6
aux:pass,0.16666666666666666,6
acl,0.5,4
cc,0.10714285714285714,28
case,0.03529411764705882,85
advcl,0.21428571428571427,14
nmod,0.08823529411764706,34
advcl:relcl,0.5,2
appos,1.0,2
obl:agent,0.3333333333333333,3
nmod:unmarked,1.0,1
