Dependency,Error_Rate,Count
case,0.5061728395061729,81
xcomp,0.6153846153846154,13
acl:relcl,0.8823529411764706,17
nmod,0.6204379562043796,137
obj,0.660377358490566,53
mark:rel,0.85,20
punct,0.6833333333333333,120
compound,0.5263157894736842,38
nsubj,0.686046511627907,86
advmod,0.7272727272727273,22
root,0.5833333333333334,48
ccomp,0.6666666666666666,12
mark,0.717391304347826,46
parataxis,0.76,25
advcl,0.9047619047619048,21
cop,0.8235294117647058,17
nummod,0.5441176470588235,68
clf,0.65,20
acl,0.7142857142857143,7
obl,0.7894736842105263,19
nsubj:pass,1.0,5
nmod:tmod,0.7142857142857143,14
aux:pass,0.8333333333333334,6
csubj,1.0,3
conj,0.9574468085106383,47
cc,0.84,25
aux,0.5,18
flat:foreign,0.2,5
appos,0.45454545454545453,11
amod,0.6363636363636364,11
dislocated,1.0,1
discourse,0.6666666666666666,3
det,0.16666666666666666,12
mark:adv,1.0,4
flat:name,0.5,2
